dataset,configuration,scaler,discretizer,reducer,model,kernel,elapsed_seconds,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_ovr_mean,cv_auc_ovr_std,cv_mcc_mean,cv_mcc_std,holdout_accuracy,holdout_f1_macro,holdout_auc_ovr,holdout_mcc,rank_cv_accuracy_mean,rank_cv_f1_macro_mean,rank_cv_auc_ovr_mean,rank_cv_mcc_mean,selection_rank
modis,standard-uniform-pca-ksvc-poly,standard,uniform,pca,ksvc,poly,0.0902650310001718,0.7106062764088686,0.026841163138364304,0.38377980729463507,0.054560214923419635,0.7847611775632851,0.03722531874713363,0.5388152474554121,0.028235647143532175,0.6966292134831461,0.4223426929848948,0.8135349135137343,0.4903004975146065,2.0,2.0,2.0,2.0,2.0
modis,standard-uniform-pca-ksvc-rbf,standard,uniform,pca,ksvc,rbf,0.10272491900013847,0.7134311351659308,0.023229169431347386,0.37952006388120757,0.06490904641220317,0.7722628174801573,0.01637379467855628,0.5497018520047053,0.015040417284673136,0.7528089887640449,0.5087445887445888,0.8108067761883435,0.5981498904503479,1.0,3.0,3.0,1.0,2.0
modis,standard-uniform-pca-ksvc-radial_basic,standard,uniform,pca,ksvc,radial_basic,0.1575741230001313,0.6881260978967858,0.03763284951132881,0.4027350761333029,0.04992822185798488,0.789098684468286,0.02680981608255134,0.5161442444912782,0.03640675282944008,0.7640449438202247,0.5305818364641894,0.8434885101285319,0.6208049110928263,4.0,1.0,1.0,4.0,2.5
modis,standard-uniform-pca-ksvc-linear,standard,uniform,pca,ksvc,linear,0.0925193410000702,0.6994255329250344,0.013196364826205616,0.3440695510326935,0.03127490596882616,0.7106194789594947,0.029051433418387874,0.5211039851612268,0.014381862676080175,0.7303370786516854,0.4673033190464384,0.7688332659170262,0.5518600739977163,3.0,4.0,4.0,3.0,3.5
modis,standard-uniform-pca-ksvc-hyperbolic,standard,uniform,pca,ksvc,hyperbolic,0.12271225500012406,0.6123534159426484,0.016912807926024623,0.30823586969034195,0.04307084551642234,0.651201112068119,0.046552297056512426,0.34269613293231965,0.018462311469674662,0.5955056179775281,0.34807863395035155,0.6984650825099687,0.34702280801619073,5.0,5.0,5.0,5.0,5.0
modis,standard-uniform-pca-ksvc-triangle,standard,uniform,pca,ksvc,triangle,0.13871918500012725,0.5365095190618621,0.01695817668186073,0.13964859887511824,0.0028664658716421204,0.501814693612551,0.0031431415371092467,0.0,0.0,0.550561797752809,0.14202898550724638,0.5,0.0,6.0,6.0,6.0,6.0,6.0
