dataset,configuration,scaler,discretizer,reducer,model,kernel,elapsed_seconds,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_auc_ovr_mean,cv_auc_ovr_std,cv_mcc_mean,cv_mcc_std,holdout_accuracy,holdout_f1_macro,holdout_auc_ovr,holdout_mcc,rank_cv_accuracy_mean,rank_cv_f1_macro_mean,rank_cv_auc_ovr_mean,rank_cv_mcc_mean,selection_rank
landsat,standard-uniform-pca-ksvc-radial_basic,standard,uniform,pca,ksvc,radial_basic,0.19413602200006608,0.7088205897051475,0.04545451293024803,0.47569881448656215,0.03862920441943349,0.8230560482302799,0.032994781104392315,0.5450214084507525,0.06026323269409029,0.7931034482758621,0.6079741686884544,0.8667585318404953,0.6816374903700573,3.0,1.0,1.0,3.0,2.0
landsat,standard-uniform-pca-ksvc-rbf,standard,uniform,pca,ksvc,rbf,0.08935291200009488,0.7260869565217392,0.059777990920149744,0.4550965424090581,0.051596706900109084,0.8088436848581559,0.025043937220926345,0.5700283126140583,0.08611391207082354,0.7241379310344828,0.4668544713497962,0.8408054782372192,0.567936579192832,1.0,3.0,3.0,1.0,2.0
landsat,standard-uniform-pca-ksvc-linear,standard,uniform,pca,ksvc,linear,0.12464812600001096,0.7203148425787106,0.05862207960867046,0.4575033619874782,0.0510057837698486,0.7845144268957668,0.03478220426218269,0.5563616937942332,0.08189721430755496,0.7011494252873564,0.47924637334608644,0.8183612322412138,0.5324630252277219,2.0,2.0,4.0,2.0,2.5
landsat,standard-uniform-pca-ksvc-poly,standard,uniform,pca,ksvc,poly,0.09573442199985038,0.7059720139930036,0.045616176070247795,0.39659917431455005,0.051356246964791415,0.8210897768085541,0.019437945217559562,0.5252410728273573,0.05613800120944599,0.7701149425287356,0.5647445887445887,0.8579367165576169,0.6396520614187872,4.0,4.0,2.0,4.0,3.5
landsat,standard-uniform-pca-ksvc-hyperbolic,standard,uniform,pca,ksvc,hyperbolic,0.12838416900012817,0.6368565717141429,0.03989853798941726,0.31461572900021406,0.032883875088290694,0.7151910099114295,0.024630350741969325,0.41278222421886207,0.03642499445851574,0.6551724137931034,0.39077540106951875,0.736196535177167,0.4700786511860597,5.0,5.0,5.0,5.0,5.0
landsat,standard-uniform-pca-ksvc-triangle,standard,uniform,pca,ksvc,triangle,0.12946873500004585,0.5446776611694153,0.017455646628695067,0.14102418329742566,0.00293538977534427,0.5,0.0,0.0,0.0,0.5172413793103449,0.13636363636363635,0.5,0.0,6.0,6.0,6.0,6.0,6.0
